Year,Age,Role,City,Education,Experience,Salary
2018,47,Helpdeskmanager,Apeldoorn,HBO,25,4950
2018,42,Applicatiebeheerder,Almelo,HAVO,10,4086
2018,39,Software Engineer,Amsterdam,MBO,6,3600
2018,38,IT Consultant,Mierlo,HBO,15,4900
2018,38,Product Owner,Randstad,HBO,4,4650
2018,38,Product Owner,Rotterdam,WO,17,3900
2018,37,Software Engineer,Groningen,HBO,9,
2018,37,Test Automation Engineer,Amsterdam,HBO,0,2497
2018,36,Lead Developer,Arnhem,,16,4100
2018,36,BI Consultant,Randstad,HBO,12,5250
2018,36,Operations Analyst,Tessenderlo,HBO,5,3193
2018,36,System Administrator,de Meern,MBO,10,2700
2018,35,Infrastructure Architect,Randstad,HBO,15,5200
2018,35,Front-end Developer,Rotterdam,HBO,18,3600
2018,35,Front-end Developer,Rotterdam,HBO,18,3600
2018,35,Project manager web development,Amersfoort,HBO,11,4000
